EQUIPMENT,SECONDARY EQUIPMENT,EXERCISE,DIFFICULTY,BODY PART,SECONDARY BODY PART,EMOM,REPS,INSTRUCTIONS
Bodyweight,,Bird Dog,Easy,Core,Lower,TRUE,5 per side,"On all fours, extend opposite arm and leg straight out, hold briefly, then return. Alternate sides each rep."
Bodyweight,Step,Bulgarian Split Squat,Advanced,Lower,Core,TRUE,5 per side,"Stand facing away from a step with your rear foot elevated on it. Lower into a deep lunge, then drive back up through the front heel."
Bodyweight,,Burpees,Intermediate,Full Body,Core,TRUE,10,"From standing, drop hands to the floor, jump or step feet back to a plank, lower chest to the ground, push up, jump feet to hands, and jump with hands overhead."
Bodyweight,,Dead Bugs,Easy,Core,,TRUE,5 per side,"Lie on your back with arms extended toward the ceiling and knees at 90 degrees. Lower opposite arm and leg toward the floor while pressing your lower back into the ground, then return."
Bodyweight,,Diamond Push-ups,Advanced,Upper,Core,TRUE,10,"Place your hands close together under your chest with thumbs and forefingers forming a diamond shape. Lower your chest to your hands, then press back up."
Bodyweight,,Hip Thrusts,Easy,Lower,Core,TRUE,10,"Sit with your upper back against a bench or box, feet flat on the floor. Drive your hips up until your torso is parallel to the floor, squeeze your glutes at the top, then lower."
Bodyweight,,Jump Lunges,Advanced,Lower,Core,TRUE,5 per side,"From a lunge position, explode upward and switch legs mid-air, landing softly in a lunge on the opposite side. Maintain upright posture throughout."
Bodyweight,,Lateral Lunges,Easy,Lower,,TRUE,5 per side,"Step wide to one side, sitting your hips back and bending that knee while keeping the other leg straight. Push back to the start and alternate sides."
Bodyweight,,Lay Down/Stand Up,Easy,Full Body,Core,TRUE,10,"From standing, lower yourself to the ground and lie flat on your back. Stand back up as efficiently as you can without using a wall or support. Each full cycle is one rep."
Bodyweight,,Lunges,Easy,Lower,,TRUE,5 per side,"Step forward into a deep lunge, lowering your back knee toward the floor. Drive through the front heel to return to standing. Alternate legs."
Bodyweight,,Mountain Climbers,Intermediate,Core,Lower,TRUE,5 per side,"In a high plank position, drive your knees alternately toward your chest at pace, keeping hips level and core braced."
Bodyweight,,Pike Push-ups,Advanced,Upper,Core,TRUE,10,"Start in a downward-dog position with hips high. Bend your elbows to lower the top of your head toward the floor, then press back up."
Bodyweight,,Pistol Squat,Advanced,Lower,Core,TRUE,5 per side,"Stand on one leg with the other extended in front of you. Sit all the way down on the standing leg, then drive back up without touching the free foot down."
Bodyweight,,Plank,Easy,Core,Upper,FALSE,,"Hold a forearm plank with your body in a straight line from head to heels, core braced. Avoid sagging or piking at the hips."
Bodyweight,,Plank Shoulder Touches,Intermediate,Core,Upper,TRUE,5 per side,"In a high plank position, lift one hand to tap the opposite shoulder, then return it to the floor. Alternate sides, keeping your hips square and core braced."
Bodyweight,,Plank Up/Downs,Intermediate,Core,Upper,TRUE,5 per side,"Start in a forearm plank. Press up to a high plank one arm at a time, then lower back down. Alternate the leading arm each rep."
Bodyweight,,Push-ups,Intermediate,Upper,Core,TRUE,10,"From a high plank, lower your chest to the floor by bending your elbows, then press back up to full arm extension. Keep your body in a straight line."
Bodyweight,,Rolling Squats,Intermediate,Full Body,Core,TRUE,10,"From standing, sit down and roll onto your back, then use momentum to roll forward and drive up to standing without using your hands. Control the roll and land balanced."
Bodyweight,,Russian Twists,Intermediate,Core,,TRUE,5 per side,"Sit with knees bent, lean back slightly to engage your core, and rotate your torso side to side, tapping the floor beside each hip."
Bodyweight,,Side Plank Crunches,Advanced,Core,,TRUE,5 per side,"In a side plank, crunch your top elbow toward your top knee, engaging the obliques. Return to full extension and repeat."
Bodyweight,,Squat,Easy,Lower,Core,TRUE,10,"Stand with feet shoulder-width apart. Sit your hips back and down until thighs are at least parallel, then drive up through your heels."
Bodyweight,,Squat Jumps,Intermediate,Lower,Core,TRUE,10,"Perform a squat, then explode upward into a jump. Land softly with bent knees and immediately descend into the next rep."
Bodyweight,,T-Stand Push-ups,Advanced,Upper,Core,TRUE,5 per side,"Perform a push-up, then rotate into a side plank with one arm extended toward the ceiling forming a T shape. Return to plank and repeat on the other side."
Bodyweight,,Turkish Get Up,Advanced,Full Body,Core,FALSE,,"Lie on your back with one arm extended toward the ceiling. Use a controlled sequence of movements to stand up while keeping that arm overhead, then reverse back down."
Bodyweight,,V-Ups,Advanced,Core,,TRUE,10,"Lie flat on your back. Simultaneously lift your legs and torso to touch your hands to your feet at the top, forming a V shape. Lower with control."
Bodyweight,,Wall Sit,Easy,Lower,Core,FALSE,,"Stand with your back flat against a wall and slide down until your thighs are parallel to the floor, knees at 90 degrees. Hold the position with your core braced."
Kettlebell,,Bent Over Row,Intermediate,Upper,Core,TRUE,5 per side,"Hinge at the hips holding the kettlebell in one hand. Pull it toward your hip keeping your elbow close to your body, then lower with control."
Kettlebell,,Bicep Curls,Easy,Upper,,TRUE,10,"Hold the kettlebell by the horns at waist height. Curl it up toward your shoulders, keeping elbows pinned, then lower with control."
